FirstName                                          LastName                                           SalesOrderNumber         
Mark                                               Lee                                                NULL                     
Jolie                                              Lenehan                                            NULL                     
Roger                                              Lengel                                             NULL                     
A.                                                 Leonetti                                           NULL                     
Bonnie                                             Lepro                                              NULL                     
Linda                                              Leste                                              NULL                     
Elsie                                              Lewin                                              NULL                     
George                                             Li                                                 NULL                     
Yale                                               Li                                                 NULL                     
Yuhong                                             Li                                                 NULL                     
Joseph                                             Lique                                              NULL                     
Paulo                                              Lisboa                                             NULL                     
David                                              Liu                                                NULL                     
Jinghao                                            Liu                                                NULL                     
Todd                                               Logan                                              NULL                     
Sharon                                             Looney                                             NULL                     
Anita                                              Lucerne                                            NULL                     
Judy                                               Lundahl                                            NULL                     
Robert                                             Lyeba                                              NULL                     
Robert                                             Lyon                                               NULL                     
Denise                                             Maccietto                                          NULL                     
Scott                                              MacDonald                                          NULL                     
Ajay                                               Manchepalli                                        NULL                     
Tomas                                              Manzanares                                         NULL                     
Kathy                                              Marcovecchio                                       NULL                     
Cecelia                                            Marshall                                           NULL                     
Linda                                              Martin                                             NULL                     
Frank                                              Mart┬ínez                                           NULL                     
Steve                                              Masters                                            NULL                     
Jennifer                                           Maxham                                             NULL                     
Chris                                              Maxwell                                            NULL                     
Sandra                                             Maynard                                            NULL                     
Robin                                              McGuigan                                           NULL                     
Lola                                               McCarthy                                           NULL                     
Jane                                               McCarty                                            NULL                     
James                                              McCoy                                              NULL                     
Yvonne                                             McKay                                              NULL                     
Nkenge                                             McLin                                              NULL                     
Nancy                                              McPhearson                                         NULL                     
Raquel                                             Mello                                              NULL                     
R. Morgan                                          Mendoza                                            NULL                     
Stephen                                            Mew                                                NULL                     
Helen                                              Meyer                                              NULL                     
Thomas                                             Michaels                                           NULL                     
Virginia                                           Miller                                             NULL                     
Ben                                                Miller                                             NULL                     
Dylan                                              Miller                                             NULL                     
Frank                                              Miller                                             NULL                     
Neva                                               Mitchell                                           NULL                     
Laura                                              Steele                                             NULL                     
Shanay                                             Steelman                                           NULL                     
Stefano                                            Stefani                                            NULL                     
Alan                                               Steiner                                            NULL                     
Derik                                              Stenerson                                          NULL                     
Wathalee                                           Steuber                                            NULL                     
Alice                                              Steiner                                            NULL                     
Liza Marie                                         Stevens                                            NULL                     
Jim                                                Stewart                                            NULL                     
Robert                                             Stotka                                             NULL                     
Kayla                                              Stotler                                            NULL                     
Ruby Sue                                           Styles                                             NULL                     
Gary                                               Suess                                              NULL                     
Ruth                                               Suffin                                             NULL                     
Elizabeth                                          Sullivan                                           NULL                     
Michael                                            Sullivan                                           NULL                     
Marcia                                             Sultan                                             NULL                     
Brad                                               Sutton                                             NULL                     
Abraham                                            Swearengin                                         NULL                     
Katherine                                          Swan                                               NULL                     
Julie                                              Taft-Rider                                         NULL                     
Clarence                                           Tatman                                             NULL                     
Mike                                               Taylor                                             NULL                     
Chad                                               Tedford                                            NULL                     
Vanessa                                            Tench                                              NULL                     
Judy                                               Thames                                             NULL                     
Phyllis                                            Thomas                                             NULL                     
Donald                                             Thompson                                           NULL                     
Kendra                                             Thompson                                           NULL                     
Daniel                                             Thompson                                           NULL                     
Yuping                                             Tian                                               NULL                     
Diane                                              Tibbott                                            NULL                     
Delia                                              Toone                                              NULL                     
Glenn                                              Track                                              NULL                     
Billy                                              Trent                                              NULL                     
Christie                                           Trujillo                                           NULL                     
Phyllis                                            Tuffield                                           NULL                     
Sairaj                                             Uddin                                              NULL                     
Sunil                                              Uppal                                              NULL                     
Esther                                             Valle                                              NULL                     
Jessie                                             Valerio                                            NULL                     
Rose                                               Vandenouer                                         NULL                     
Gregory                                            Vanderbout                                         NULL                     
Michael                                            Vanderhyde                                         NULL                     
Margaret                                           Vanderkamp                                         NULL                     
Kara                                               Vanderlinden                                       NULL                     
Nieves                                             Vargas                                             NULL                     
Gary                                               Vargas                                             NULL                     
Ranjit                                             Varkey Chudukatil                                  NULL                     
Patricia                                           Vasquez                                            NULL                     
Dora                                               Verdad                                             NULL                     
Wanda                                              Vernon                                             NULL                     
Robert                                             Vessa                                              NULL                     
Caroline                                           Vicknair                                           NULL                     

(815 rows affected)
